name,popularity
काथीरीकइ गोथ्सु रेसिपी - Kathirikai Gotsu Recipe,700
चकुंदर पनीर करी रेसिपी -  Beetroot Paneer Curry Recipe In Coconut Milk,700
बांदे दिन्दु कडले पाल्या रेसिपी - Banana Stem Chickpea Curry,700
Kerala Style Ulli Theeyal Recipe - Small Onions Roasted in Spicy Tamarind Coconut Gravy,700
Khajur Satori Recipe (Dates Flatbread),"[<span id=""recipenumvotes"">553 ratings.</span>]"
Baked Stuffed Baati With Churma And Panchratna Dal Recipe,"[<span id=""recipenumvotes"">2776 ratings.</span>]"
Kala Chana Masala Curry Recipe,700
इमली चिल्ली आलू रेसिपी - Tamarind Chilli Potato Recipe,700
Kohlrabi Recipe (Knol Khol Poriyal),700
बीन्स करम रेसिपी - Beans Curry (Recipe In Hindi),700
Begun Basanti Recipe - Eggplant In Mustard Yogurt Curry,"[<span id=""recipenumvotes"">3769 ratings.</span>]"
Poosanikai Haddu Sweet Curry Recipe - Pumpkin Sweet Curry,700
Cauliflower And Soya Chunks Sabzi Recipe,700
Traditional Whole Gobi Musallam Recipe,700
Potato And Cauliflower In Peanut Curry Recipe,700
Pasi Paruppu Masiyal Recipe-Green Moong Dal Curry Recipe,"[<span id=""recipenumvotes"">3541 ratings.</span>]"
हैदराबादी खादी मसूर की दाल रेसिपी - Hyderabadi Khadi Masoor Ki Dal Recipe,700
Drumstick Dal Recipe,"[<span id=""recipenumvotes"">5030 ratings.</span>]"
Potato Sagu Recipe for Rava Idli,"[<span id=""recipenumvotes"">6687 ratings.</span>]"
मुलांगी करी रेसिपी - Mullangi Curry (Recipe In Hindi),700
उलावा चारु रेसिपी - Horse Gram Rasam (Recipe In Hindi),700
वाली भाजी अंबट रेसिपी - Vali Bhajji Ambat (Recipe In Hindi),700
गुजराती कढ़ी रेसिपी - Gujarati Kadhi Recipe,700
Varan Bhaat Recipe - Maharashtrian Dal Recipe,700
वरन भात रेसिपी - Varan Bhaat Recipe,700
Kollu Rasam Recipe - Healthy Horse Gram Rasam,700
Spiced Ghee Rice Recipe | Neychoru,700
High Protein Broccoli and Dill Stuffed Paratha Recipe,"[<span id=""recipenumvotes"">2920 ratings.</span>]"
Mughlai Aloo Lajawab Recipe - Mughlai Aloo Sabzi Recipe,"[<span id=""recipenumvotes"">2530 ratings.</span>]"
Baingan Bharta Recipe - Smoked Roasted Eggplant with Green Chillies and Ginger,700
Aloo Poha Recipe - Batata Poha,700
Gujarati Kadhi Recipe - Sweet And Spicy Gujarati Kadhi,700
Andhra Style Aratikaya Vepudu Recipe - Raw Banana Dry Sabzi,"[<span id=""recipenumvotes"">10580 ratings.</span>]"
Mutton Dum Biryani Recipe,"[<span id=""recipenumvotes"">19424 ratings.</span>]"
Ragi Rava Idli Recipe - Steamed High Protein Finger Millet Idli,700
Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,"[<span id=""recipenumvotes"">881 ratings.</span>]"
Jaipuri Aloo Pyaz Ki Sabzi Recipe Using Preethi Electric Pressure Cooker,700
Tomato Onion Cucumber Raita Recipe,700
पोट्टू कडलई चटनी रेसिपी - Roasted Chickpea Chutney Recipe,700
Gurellu Chutney Podi Recipe,700
Uchellu Chutney Recipe,700
Crispy and Spicy Chilli Chicken Recipe - Indian Style,700
Ragi Kuzhi Paniyaram Recipe with Ragi Dosa Batter,700
Paneer Stuffed Mushroom Masala Recipe,"[<span id=""recipenumvotes"">2177 ratings.</span>]"
Mushroom Masala Cheese Omelette Recipe,"[<span id=""recipenumvotes"">3034 ratings.</span>]"
Paneer Stuffed Ragi Paratha Recipe - High Protein Breakfast,700
Raw Papaya Red Bell Peppers Stuffed Paratha,700
Foxtail Millet Upma Recipe,700
Nawabi Kofta Curry Recipe,"[<span id=""recipenumvotes"">5126 ratings.</span>]"
Aamras Ki Kadhi Recipe - Mango Kadhi Recipe,700
Chettinad Style Tomato Vermicelli Upma Recipe,700
Himachali Bhey Recipe - Stir Fried Lotus Stem,700
Beetroot Sambar Recipe - Tangy Beetroot Lentil Curry,700
Crunchy Carrot Peanut Raita Recipe - Gajar Moongphali Raita,700
Delicious Breakfast Anda Ghotala Recipe With Butter Pav,"[<span id=""recipenumvotes"">9816 ratings.</span>]"
Palak (Spinach) Puri Recipe,"[<span id=""recipenumvotes"">1583 ratings.</span>]"
Besan Ka Sheera Recipe (Natural Cold Remedy),700
Ujju Rotti Recipe (Indian Rice Flat Bread),"[<span id=""recipenumvotes"">2234 ratings.</span>]"
मशरुम करी - Mushroom Curry (Recipe In Hindi),700
Bisi Bele Bath Recipe - A Spicy Mixed Vegetable Sambar Rice,"[<span id=""recipenumvotes"">6734 ratings.</span>]"
Malabar Style Ney Pathiri Recipe (Fried Masala Rice Puri),700
Karnataka Style Tamarind Gojju Recipe,"[<span id=""recipenumvotes"">2412 ratings.</span>]"
Sun Dried Raw Mango Raita Recipe-Ambula Rai,"[<span id=""recipenumvotes"">2437 ratings.</span>]"
Gujarati Lasaniya Batata Recipe - Garlic Potato Curry,"[<span id=""recipenumvotes"">5714 ratings.</span>]"
Bengali Style Khichuri Aar Labra Recipe-Khichdi And Mixed Vegetables,700
Nimki Aloo Anardana Curry Recipe - Potato And Nimki Curry,"[<span id=""recipenumvotes"">795 ratings.</span>]"
Aloo Amritsari Recipe,"[<span id=""recipenumvotes"">3499 ratings.</span>]"
Restaurant Style Phool Gobhi Masala Recipe,"[<span id=""recipenumvotes"">10060 ratings.</span>]"
Kavuni Arisi Halwa Recipe (Black Rice Halwa),700
Kerala Style Avial Recipe - Onam Sadya Recipe,700
Gojju Avalakki Recipe - Puli Aval,700
Banarasi Chooda Matar/Chura Matar Recipe,"[<span id=""recipenumvotes"">11753 ratings.</span>]"
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),700
Sweet Potato And Bitter Gourd Kulambu Recipe,"[<span id=""recipenumvotes"">926 ratings.</span>]"
Himachal Pahari Style Teliah Mah Recipe (Brown Horse Gram Curry),"[<span id=""recipenumvotes"">3417 ratings.</span>]"
Kerala Special Mambazha Puliserry Recipe,"[<span id=""recipenumvotes"">1418 ratings.</span>]"
Karnataka Style Mangrasa Recipe - Raw Mango Chutney Recipe,700
Zucchini Paratha Recipe,"[<span id=""recipenumvotes"">3942 ratings.</span>]"
Dry Fruit Barfi Recipe - A Healthy Dry Fruit Halwa,700
Chironji And Makhane Ki Kheer Recipe,700
Banana Sheera Recipe - Sweet Banana Halwa/ Pudding,700
Badam Ki Kheer Recipe - Spiced Almond Milk,700
Akhrot Ka Sheera/Halwa Recipe - Walnut Pudding/Fudge Recipe,700
Broccoli Capsicum Pulao Recipe,"[<span id=""recipenumvotes"">6776 ratings.</span>]"
Dry Fruits Meetha Paneer Paratha Recipe,700
Whole Wheat Naan Recipe,"[<span id=""recipenumvotes"">42450 ratings.</span>]"
Egg Korma Recipe,"[<span id=""recipenumvotes"">3695 ratings.</span>]"
Egg And Ridge Gourd Burji - Peerkangai Muttai Poriyal Recipe,"[<span id=""recipenumvotes"">1637 ratings.</span>]"
Chettinad Muttai Masala Recipe - Chettinad Style Egg Curry,"[<span id=""recipenumvotes"">14252 ratings.</span>]"
